city,date,aqi,pm2_5,pm10,no2,o3,temperature,humidity,hospital_admissions,population_density,hospital_capacity
Beijing,2021-06-13,47.0,40.3,72.1,29.0,32.4,2.2,92.0,8.0,Urban,562.0
Mexico City,2021-06-14,145.0,26.2,40.1,21.8,40.1,-0.5,29.0,12.0,Suburban,697.0
Los Angeles,2021-06-15,173.0,42.1,42.2,17.4,38.3,21.9,77.0,9.0,Urban,116.0
Beijing,2021-06-16,318.0,44.9,83.2,46.8,31.9,10.7,67.0,10.0,Urban,1405.0
Mexico City,2021-06-17,54.0,58.6,40.0,12.0,38.2,1.6,82.0,9.0,Suburban,1925.0
Delhi,2021-06-18,255.0,39.6,51.4,45.2,24.1,28.1,72.0,14.0,Suburban,578.0
Delhi,2021-06-19,55.0,19.5,49.9,28.3,19.8,34.9,46.0,1.0,Urban,522.0
Beijing,2021-06-20,310.0,46.2,50.1,26.6,51.7,30.6,31.0,8.0,Urban,726.0
Delhi,2021-06-21,320.0,19.9,38.0,42.2,57.0,3.8,20.0,1.0,Urban,1134.0
Delhi,2021-06-22,343.0,40.2,102.4,32.1,45.5,15.2,26.0,5.0,Urban,229.0
London,2021-06-23,221.0,59.8,65.4,12.8,15.0,23.2,49.0,6.0,Urban,730.0
São Paulo,2021-06-24,211.0,38.7,87.9,35.1,46.8,-1.7,89.0,4.0,Urban,153.0
Mexico City,2021-06-25,136.0,45.9,25.7,30.9,49.6,4.0,67.0,9.0,Urban,890.0
London,2021-06-26,463.0,12.5,56.5,35.5,16.6,2.6,78.0,15.0,Urban,881.0
São Paulo,2021-06-27,477.0,55.3,69.5,21.3,23.4,30.6,74.0,7.0,Urban,1657.0
Delhi,2021-06-28,51.0,5.2,34.4,23.0,30.9,39.5,56.0,4.0,Suburban,784.0
Beijing,2021-06-29,485.0,61.1,52.9,19.9,34.9,-2.4,31.0,16.0,Urban,1252.0
Beijing,2021-06-30,276.0,66.3,56.4,32.4,49.6,28.4,94.0,8.0,Urban,1879.0
Delhi,2021-07-01,306.0,30.7,67.7,22.6,64.8,11.3,71.0,6.0,Urban,1551.0
Los Angeles,2021-07-02,337.0,28.2,57.7,24.2,53.6,12.2,25.0,8.0,Urban,1716.0
Beijing,2021-07-03,101.0,33.0,75.2,42.6,28.3,9.8,65.0,10.0,Urban,594.0
Beijing,2021-07-04,470.0,52.6,65.3,22.6,43.8,-0.5,26.0,13.0,Urban,372.0
Delhi,2021-07-05,465.0,11.5,7.4,32.6,46.3,15.3,53.0,8.0,Suburban,1974.0
Delhi,2021-07-06,204.0,31.9,80.5,31.5,35.4,9.1,59.0,13.0,Suburban,528.0
Tokyo,2021-07-07,183.0,40.2,35.0,44.4,40.9,-2.5,72.0,10.0,Urban,683.0
Delhi,2021-07-08,449.0,59.0,52.5,40.0,42.5,-3.8,30.0,15.0,Suburban,188.0
Delhi,2021-07-09,242.0,20.3,46.9,3.9,3.1,38.0,70.0,9.0,Urban,1218.0
Delhi,2021-07-10,135.0,44.0,48.2,38.7,50.9,21.7,90.0,7.0,Suburban,735.0
Beijing,2021-07-11,368.0,39.1,49.5,2.3,34.0,-3.6,76.0,1.0,Suburban,1131.0
Mexico City,2021-07-12,8.0,50.3,47.0,43.4,42.7,31.1,63.0,5.0,Urban,666.0
Beijing,2021-07-13,370.0,49.2,67.5,30.1,51.5,3.3,21.0,12.0,Urban,1004.0
Delhi,2021-07-14,329.0,25.5,29.8,37.8,18.9,31.1,47.0,12.0,Urban,1503.0
London,2021-07-16,275.0,57.8,58.7,26.2,8.7,17.3,63.0,11.0,Suburban,311.0
Mexico City,2021-07-17,269.0,18.7,24.0,19.8,62.1,21.2,39.0,4.0,Suburban,1709.0
Mexico City,2021-07-18,121.0,24.4,93.2,20.6,43.4,18.2,24.0,9.0,Urban,1660.0
Mexico City,2021-07-19,486.0,46.3,44.0,38.4,42.1,-1.5,58.0,9.0,Urban,279.0
Los Angeles,2021-07-20,250.0,27.9,79.5,12.4,36.9,8.1,51.0,8.0,Suburban,158.0
Delhi,2021-07-21,247.0,33.0,47.4,33.4,45.3,17.6,45.0,2.0,Urban,419.0
Beijing,2021-07-22,304.0,60.9,31.8,36.6,30.4,34.5,93.0,12.0,Urban,1093.0
Beijing,2021-07-23,353.0,52.3,53.7,35.2,34.4,17.4,65.0,14.0,Urban,1632.0
Beijing,2021-07-24,234.0,29.9,60.7,33.8,41.7,23.1,77.0,6.0,Urban,1357.0
London,2021-07-25,106.0,31.7,43.1,35.3,32.6,18.7,52.0,10.0,Urban,652.0
Beijing,2021-07-26,205.0,4.3,2.0,27.1,33.5,-4.1,22.0,0.0,Rural,1109.0
Los Angeles,2021-07-27,309.0,41.9,46.4,39.3,46.4,7.6,36.0,6.0,Suburban,1341.0
London,2021-07-28,123.0,3.0,47.2,41.1,59.6,7.4,88.0,1.0,Suburban,643.0
Beijing,2021-07-29,89.0,19.5,26.3,32.4,38.6,37.2,58.0,10.0,Suburban,469.0
Tokyo,2021-07-30,74.0,16.9,79.1,21.2,55.7,37.0,48.0,6.0,Urban,1135.0
Mexico City,2021-07-31,183.0,50.5,52.6,21.5,33.7,34.4,41.0,11.0,Urban,571.0
London,2021-08-01,390.0,40.1,71.3,37.3,34.9,-3.4,37.0,15.0,Urban,692.0
Beijing,2021-08-02,224.0,44.1,65.1,22.5,27.3,14.9,52.0,14.0,Urban,349.0
Beijing,2021-08-03,153.0,14.1,29.2,10.0,61.3,24.9,80.0,6.0,Suburban,123.0
Beijing,2021-08-04,335.0,54.5,24.5,27.1,36.8,21.1,75.0,14.0,Urban,1915.0
Delhi,2021-08-05,395.0,35.6,34.3,20.4,34.5,2.3,22.0,8.0,Rural,1303.0
Beijing,2021-08-06,40.0,16.1,60.6,35.4,45.3,13.4,79.0,7.0,Urban,642.0
Tokyo,2021-08-07,470.0,28.8,64.0,41.0,37.2,13.9,77.0,4.0,Urban,873.0
Mexico City,2021-08-08,50.0,61.5,83.2,27.8,47.4,13.1,60.0,12.0,Urban,975.0
Delhi,2021-08-09,361.0,24.0,55.8,25.0,52.8,36.2,82.0,14.0,Urban,1675.0
Beijing,2021-08-10,26.0,40.3,57.5,37.1,28.8,29.8,70.0,14.0,Suburban,1870.0
Delhi,2021-08-11,150.0,36.0,33.0,38.9,47.3,14.7,81.0,10.0,Rural,1300.0
Delhi,2021-08-12,190.0,24.8,14.7,43.2,46.2,11.9,68.0,6.0,Suburban,903.0
Tokyo,2021-08-13,98.0,43.6,61.3,28.0,44.5,-1.9,47.0,7.0,Urban,420.0
Beijing,2021-08-14,100.0,42.3,19.1,34.8,40.7,2.3,20.0,11.0,Urban,1314.0
Beijing,2021-08-15,181.0,33.2,67.3,28.7,44.5,21.3,68.0,13.0,Urban,860.0
Mexico City,2021-08-16,384.0,32.5,71.2,23.5,2.7,34.1,56.0,2.0,Urban,1017.0
Delhi,2021-08-17,245.0,20.4,59.4,19.0,38.6,11.0,39.0,11.0,Urban,1230.0
Delhi,2021-08-18,412.0,11.0,43.7,33.7,32.4,13.8,63.0,5.0,Urban,1686.0
Los Angeles,2021-08-19,404.0,47.8,42.6,24.9,35.4,20.8,90.0,12.0,Suburban,1029.0
Mexico City,2021-08-20,122.0,25.0,45.5,25.6,38.9,2.4,48.0,7.0,Urban,454.0
São Paulo,2021-08-21,223.0,42.1,86.1,51.7,61.0,13.8,38.0,10.0,Rural,877.0
Mexico City,2021-08-22,307.0,40.0,63.1,34.9,25.0,20.5,62.0,2.0,Suburban,1594.0
Beijing,2021-08-23,138.0,36.7,64.0,25.5,45.2,0.5,90.0,13.0,Urban,386.0
Los Angeles,2021-08-24,244.0,65.1,49.5,46.3,29.0,0.5,85.0,12.0,Urban,1385.0
Tokyo,2021-08-25,148.0,15.2,72.5,30.6,31.8,9.0,20.0,4.0,Rural,1000.0
Los Angeles,2021-08-26,100.0,31.2,21.2,28.9,51.5,7.8,86.0,5.0,Suburban,401.0
Cairo,2021-08-27,36.0,34.5,32.7,27.1,58.9,18.6,93.0,8.0,Urban,1085.0
Los Angeles,2021-08-28,318.0,43.1,48.9,30.5,35.7,34.3,82.0,10.0,Urban,1864.0
London,2021-08-29,240.0,33.2,53.9,30.9,44.5,20.9,70.0,9.0,Urban,1536.0
Delhi,2021-08-30,368.0,23.6,60.0,21.7,42.4,33.9,68.0,10.0,Suburban,1146.0
Los Angeles,2021-08-31,33.0,13.7,32.3,21.1,25.3,22.5,46.0,6.0,Suburban,1265.0
Beijing,2021-09-01,418.0,30.2,23.1,21.1,42.8,-0.5,90.0,7.0,Urban,1039.0
Mexico City,2021-09-02,478.0,16.8,24.7,39.2,49.4,33.2,60.0,5.0,Suburban,1059.0
Mexico City,2021-09-03,151.0,46.7,51.2,33.2,51.4,2.9,30.0,4.0,Urban,956.0
Cairo,2021-09-04,487.0,14.1,31.1,33.7,51.4,-2.7,50.0,13.0,Urban,909.0
São Paulo,2021-09-05,77.0,38.2,23.5,13.8,61.7,7.5,37.0,3.0,Urban,1556.0
Delhi,2021-09-06,265.0,58.1,29.0,15.5,39.6,1.1,61.0,9.0,Suburban,693.0
Los Angeles,2021-09-07,465.0,53.3,66.6,32.5,44.2,1.8,87.0,8.0,Rural,1893.0
Los Angeles,2021-09-08,215.0,39.2,36.4,36.9,36.7,34.5,35.0,7.0,Urban,184.0
Delhi,2021-09-10,101.0,47.8,84.9,39.6,45.2,22.8,73.0,11.0,Urban,594.0
Delhi,2021-09-11,142.0,60.5,45.8,35.9,26.1,1.8,92.0,6.0,Suburban,1294.0
Los Angeles,2021-09-12,321.0,20.4,42.0,42.9,45.8,0.1,42.0,6.0,Urban,680.0
Beijing,2021-09-13,28.0,14.0,64.3,8.8,33.9,8.9,61.0,4.0,Urban,530.0
São Paulo,2021-09-14,119.0,19.2,48.4,26.6,40.6,35.2,86.0,8.0,Urban,1443.0
Beijing,2021-09-15,354.0,27.5,53.0,42.7,31.8,36.5,71.0,10.0,Rural,323.0
Cairo,2021-09-16,66.0,31.4,43.2,33.1,33.3,35.3,54.0,15.0,Urban,1739.0
Beijing,2021-09-17,182.0,61.2,22.5,36.3,34.8,28.8,67.0,16.0,Urban,515.0
Los Angeles,2021-09-18,278.0,37.9,62.1,43.9,34.5,5.5,27.0,2.0,Suburban,921.0
Delhi,2021-09-19,379.0,28.3,60.3,25.5,50.8,35.7,39.0,5.0,Suburban,1692.0
Mexico City,2021-09-20,260.0,60.2,65.6,26.7,43.7,23.7,30.0,13.0,Rural,1176.0
London,2021-09-21,35.0,32.8,63.6,17.3,28.9,37.1,63.0,4.0,Urban,678.0
Tokyo,2021-09-22,295.0,48.4,29.8,32.2,60.2,17.9,34.0,5.0,Urban,205.0
London,2021-09-23,229.0,21.1,63.1,25.4,45.4,31.4,33.0,6.0,Urban,1546.0
Delhi,2021-09-24,197.0,53.8,46.7,32.5,54.2,28.7,28.0,9.0,Urban,657.0
Beijing,2021-09-25,166.0,31.9,64.8,48.9,54.3,0.7,68.0,11.0,Urban,532.0
Delhi,2021-09-26,408.0,30.7,35.6,25.1,24.6,36.0,73.0,0.0,Suburban,888.0
Delhi,2021-09-27,321.0,7.6,80.6,29.4,31.9,37.0,86.0,4.0,Urban,1191.0
Mexico City,2021-09-28,17.0,26.1,85.0,34.1,44.9,-3.9,89.0,7.0,Urban,1920.0
Los Angeles,2021-09-29,354.0,15.0,37.0,26.4,33.8,39.5,71.0,5.0,Urban,591.0
Los Angeles,2021-09-30,145.0,37.8,51.8,28.8,47.6,16.8,41.0,4.0,Urban,211.0
London,2021-10-01,474.0,20.0,55.2,31.0,43.7,3.1,86.0,10.0,Urban,1147.0
Los Angeles,2021-10-02,225.0,9.8,51.1,9.1,41.5,29.9,48.0,9.0,Urban,358.0
London,2021-10-03,173.0,43.8,33.5,39.8,39.9,1.0,32.0,10.0,Suburban,1202.0
Delhi,2021-10-04,61.0,23.7,14.6,42.0,47.5,-1.7,90.0,6.0,Suburban,1429.0
Delhi,2021-10-05,64.0,23.0,53.8,37.0,43.0,15.6,54.0,4.0,Rural,1039.0
Mexico City,2021-10-06,370.0,73.2,37.0,8.5,39.2,39.3,49.0,10.0,Suburban,640.0
London,2021-10-07,480.0,25.3,56.8,38.7,24.7,36.4,74.0,3.0,Urban,300.0
Delhi,2021-10-08,198.0,49.8,46.6,44.7,40.7,34.0,81.0,12.0,Urban,1460.0
Beijing,2021-10-09,285.0,16.9,94.0,42.3,38.0,-3.6,43.0,7.0,Urban,1604.0
Mexico City,2021-10-10,477.0,39.4,47.0,31.4,62.1,2.8,43.0,4.0,Rural,988.0
Delhi,2021-10-11,466.0,43.9,77.3,30.9,38.2,8.3,64.0,6.0,Suburban,1105.0
Beijing,2021-10-12,344.0,7.8,31.3,40.3,37.6,34.3,65.0,9.0,Urban,1828.0
Tokyo,2021-10-13,415.0,15.0,67.7,7.2,38.9,0.4,34.0,7.0,Urban,959.0
Mexico City,2021-10-14,258.0,52.8,53.3,29.5,44.2,18.2,22.0,6.0,Suburban,1226.0
Delhi,2021-10-15,245.0,28.6,47.4,28.1,25.0,34.9,66.0,11.0,Urban,888.0
London,2021-10-16,219.0,36.1,40.3,25.4,47.1,0.7,74.0,8.0,Urban,815.0
Beijing,2021-10-17,44.0,51.0,63.4,20.9,39.3,-3.2,86.0,7.0,Urban,561.0
London,2021-10-18,303.0,54.5,68.6,36.9,44.5,17.0,49.0,7.0,Rural,791.0
Delhi,2021-10-19,149.0,25.5,52.7,29.6,36.4,5.3,45.0,8.0,Rural,1993.0
Mexico City,2021-10-20,358.0,34.6,60.3,36.1,58.2,20.7,53.0,14.0,Urban,573.0
Beijing,2021-10-21,349.0,27.1,69.1,39.2,33.7,30.0,41.0,6.0,Urban,1742.0
Delhi,2021-10-22,161.0,31.9,97.5,31.1,41.9,6.9,50.0,6.0,Suburban,1746.0
Tokyo,2021-10-23,367.0,25.4,89.9,29.1,26.8,3.8,22.0,9.0,Suburban,1731.0
Delhi,2021-10-24,86.0,28.5,38.2,11.5,29.2,9.8,73.0,9.0,Urban,1912.0
Delhi,2021-10-25,125.0,64.7,58.3,18.4,35.9,22.4,70.0,12.0,Rural,158.0
Beijing,2021-10-26,341.0,27.0,61.4,31.5,55.3,33.5,76.0,8.0,Urban,1968.0
Los Angeles,2021-10-27,320.0,5.6,52.1,39.5,31.8,31.9,76.0,4.0,Urban,1210.0
London,2021-10-28,438.0,31.0,56.9,22.8,34.4,22.0,54.0,7.0,Urban,606.0
São Paulo,2021-10-29,51.0,8.2,29.7,24.7,36.3,-4.9,47.0,8.0,Suburban,813.0
Delhi,2021-10-30,351.0,39.9,6.0,32.4,46.1,14.8,92.0,5.0,Urban,624.0
Beijing,2021-10-31,106.0,32.1,63.4,35.7,67.9,4.2,64.0,11.0,Urban,659.0
Delhi,2021-11-01,171.0,66.6,77.3,35.6,53.9,11.2,86.0,12.0,Urban,845.0
Mexico City,2021-11-02,61.0,49.9,24.6,26.3,8.5,33.9,79.0,8.0,Suburban,281.0
São Paulo,2021-11-03,156.0,2.6,20.8,51.6,41.4,30.7,72.0,2.0,Urban,623.0
Los Angeles,2021-11-04,101.0,15.2,63.9,40.9,61.0,-3.3,33.0,4.0,Urban,144.0
Mexico City,2021-11-05,260.0,30.1,38.1,23.8,39.7,33.3,42.0,7.0,Urban,797.0
Beijing,2021-11-06,82.0,38.6,27.2,33.2,32.9,28.2,41.0,10.0,Urban,904.0
Tokyo,2021-11-07,289.0,48.7,53.7,39.4,36.8,22.8,73.0,13.0,Urban,1229.0
Beijing,2021-11-08,359.0,43.4,58.4,21.4,35.8,0.6,21.0,3.0,Suburban,400.0
Delhi,2021-11-09,199.0,42.7,73.0,23.7,42.0,30.3,54.0,11.0,Urban,1877.0
Beijing,2021-11-10,457.0,27.2,49.3,29.0,26.9,16.3,41.0,8.0,Urban,981.0
Delhi,2021-11-11,64.0,29.5,45.4,18.6,42.0,13.7,29.0,7.0,Rural,960.0
Delhi,2021-11-12,483.0,39.8,56.8,19.1,20.2,30.8,46.0,7.0,Urban,151.0
Delhi,2021-11-13,299.0,39.7,67.0,34.9,22.6,38.8,80.0,7.0,Urban,373.0
Beijing,2021-11-14,195.0,41.8,44.5,32.6,43.9,17.3,87.0,11.0,Urban,787.0
Mexico City,2021-11-15,14.0,21.6,69.6,23.8,29.9,22.8,38.0,13.0,Suburban,339.0
Beijing,2021-11-16,429.0,34.0,33.0,44.9,56.9,5.8,33.0,6.0,Urban,1347.0
Beijing,2021-11-17,471.0,49.4,2.5,38.7,26.3,-2.4,36.0,12.0,Urban,1828.0
Cairo,2021-11-18,45.0,25.8,48.5,34.3,23.9,16.0,40.0,12.0,Rural,467.0
Los Angeles,2021-11-19,132.0,42.4,42.9,34.2,15.1,-3.9,38.0,13.0,Urban,811.0
Beijing,2021-11-20,284.0,21.5,40.3,35.7,47.8,-0.3,93.0,7.0,Urban,1983.0
Delhi,2021-11-21,167.0,33.9,79.9,25.1,41.2,12.3,20.0,9.0,Suburban,1670.0
Tokyo,2021-11-22,302.0,44.2,66.8,29.4,70.6,6.9,73.0,9.0,Suburban,527.0
Delhi,2021-11-23,294.0,47.1,16.3,49.8,28.6,31.5,83.0,4.0,Urban,1679.0
Beijing,2021-11-24,205.0,21.8,41.2,32.4,15.7,0.2,45.0,7.0,Urban,352.0
Tokyo,2021-11-25,364.0,11.9,58.2,35.8,55.1,1.2,58.0,4.0,Suburban,1405.0
Beijing,2021-11-26,11.0,55.3,36.8,26.8,68.4,15.2,77.0,10.0,Urban,1151.0
Los Angeles,2021-11-27,315.0,54.0,2.6,35.7,37.6,1.3,91.0,7.0,Urban,424.0
Mexico City,2021-11-28,165.0,5.6,47.7,34.0,31.0,28.7,84.0,8.0,Urban,1448.0
Mexico City,2021-11-29,110.0,42.3,77.6,18.1,28.8,9.8,88.0,14.0,Suburban,1860.0
Delhi,2021-11-30,2.0,36.4,67.7,23.8,35.0,27.5,72.0,10.0,Urban,1150.0
Delhi,2021-12-01,14.0,55.6,39.8,43.4,15.6,19.3,66.0,10.0,Suburban,1257.0
Beijing,2021-12-02,404.0,54.1,65.9,41.1,41.8,21.8,63.0,9.0,Suburban,1252.0
Delhi,2021-12-03,420.0,49.0,68.9,26.3,38.7,10.6,73.0,7.0,Urban,1840.0
London,2021-12-04,499.0,30.2,68.6,22.2,63.8,30.7,26.0,8.0,Urban,682.0
Delhi,2021-12-05,437.0,1.1,76.1,43.9,48.4,26.2,20.0,5.0,Rural,1792.0
Mexico City,2021-12-06,103.0,41.6,29.0,20.1,29.7,6.4,26.0,5.0,Urban,1635.0
Los Angeles,2021-12-07,103.0,18.0,41.4,38.8,36.3,33.5,46.0,2.0,Urban,802.0
Los Angeles,2021-12-08,385.0,7.9,49.7,26.4,29.8,-1.9,25.0,4.0,Suburban,760.0
Beijing,2021-12-09,237.0,78.4,32.1,43.9,39.4,0.4,80.0,8.0,Urban,1380.0
Beijing,2021-12-10,445.0,24.2,34.7,41.0,52.9,24.1,38.0,5.0,Suburban,1458.0
São Paulo,2021-12-11,21.0,42.9,66.2,29.7,54.2,33.4,62.0,12.0,Urban,349.0
Mexico City,2021-12-12,144.0,48.1,83.2,16.4,34.2,28.7,78.0,11.0,Urban,1220.0
London,2021-12-13,101.0,41.6,37.5,36.6,44.4,-0.1,51.0,13.0,Urban,522.0
Tokyo,2021-12-14,324.0,7.8,47.2,47.2,53.0,-2.6,41.0,13.0,Urban,1149.0
Los Angeles,2021-12-15,367.0,57.4,57.0,39.4,24.7,16.8,46.0,7.0,Suburban,455.0
Delhi,2021-12-16,124.0,34.3,47.4,42.9,44.9,18.4,49.0,4.0,Urban,1725.0
Mexico City,2021-12-17,414.0,41.7,56.4,33.2,38.7,4.0,29.0,9.0,Suburban,1781.0
Delhi,2021-12-18,33.0,24.0,52.3,31.9,40.3,10.7,50.0,8.0,Suburban,788.0
Mexico City,2021-12-19,4.0,21.4,46.1,49.0,34.4,39.2,20.0,7.0,Urban,992.0
Cairo,2021-12-20,288.0,22.2,21.7,34.4,30.2,37.1,38.0,3.0,Suburban,155.0
Beijing,2021-12-21,475.0,23.0,60.2,28.5,32.0,-3.6,21.0,4.0,Urban,1514.0
Beijing,2021-12-22,145.0,25.8,57.1,44.6,28.9,36.0,65.0,11.0,Suburban,1738.0
Delhi,2021-12-23,293.0,53.3,81.4,27.0,48.4,-3.2,68.0,8.0,Rural,53.0
Cairo,2021-12-24,431.0,28.5,58.3,20.0,34.0,29.4,82.0,7.0,Urban,1184.0
Delhi,2021-12-25,50.0,43.1,67.7,25.6,24.2,18.7,48.0,9.0,Urban,1614.0
Delhi,2021-12-26,479.0,26.2,9.6,31.8,49.9,6.7,34.0,7.0,Urban,120.0
Delhi,2021-12-27,310.0,41.0,56.0,35.2,19.7,30.8,30.0,7.0,Urban,754.0
Delhi,2021-12-28,88.0,34.4,10.7,25.2,45.6,3.5,79.0,5.0,Suburban,578.0
Beijing,2021-12-29,254.0,25.7,56.6,35.1,24.8,35.6,85.0,4.0,Urban,1323.0
Beijing,2021-12-30,75.0,13.9,44.8,24.6,25.7,23.3,66.0,9.0,Suburban,1756.0
Beijing,2021-12-31,15.0,40.7,57.8,13.7,34.8,2.5,21.0,15.0,Urban,626.0
Delhi,2022-01-01,100.0,20.2,62.9,39.2,46.9,30.1,33.0,0.0,Urban,1809.0
Delhi,2022-01-02,431.0,42.4,56.0,12.2,39.9,9.0,56.0,3.0,Urban,1308.0
Beijing,2022-01-03,232.0,11.3,29.6,38.1,38.3,24.1,33.0,5.0,Urban,1012.0
Delhi,2022-01-04,171.0,24.2,46.8,31.1,37.6,27.4,91.0,2.0,Urban,356.0
Mexico City,2022-01-05,159.0,2.1,32.6,30.5,34.4,26.2,43.0,0.0,Suburban,100.0
Delhi,2022-01-06,463.0,19.6,62.3,32.1,31.4,18.9,76.0,12.0,Urban,639.0
Beijing,2022-01-07,320.0,27.9,66.1,19.9,52.8,27.8,94.0,8.0,Urban,555.0
Beijing,2022-01-08,488.0,54.7,62.6,24.8,37.0,18.4,25.0,7.0,Urban,169.0
Beijing,2022-01-09,232.0,56.4,61.3,21.6,25.4,19.5,61.0,6.0,Urban,216.0
Delhi,2022-01-10,372.0,50.1,51.7,17.8,20.6,38.2,86.0,11.0,Suburban,1941.0
Delhi,2022-01-11,10.0,43.5,40.2,9.0,49.8,32.6,94.0,6.0,Urban,1056.0
London,2022-01-12,340.0,37.6,35.8,32.1,26.8,27.4,74.0,3.0,Suburban,1354.0
Delhi,2022-01-13,374.0,25.5,19.4,34.1,47.8,11.7,64.0,3.0,Suburban,242.0
Beijing,2022-01-14,439.0,31.3,38.7,23.8,32.8,26.4,24.0,4.0,Rural,448.0
Beijing,2022-01-15,176.0,24.5,40.9,49.6,41.4,36.1,44.0,3.0,Urban,553.0
Beijing,2022-01-16,279.0,50.8,38.0,46.0,23.2,31.1,24.0,10.0,Urban,266.0
Beijing,2022-01-17,331.0,28.5,66.1,27.3,52.5,20.5,77.0,10.0,Urban,1497.0
Los Angeles,2022-01-18,367.0,51.6,57.2,23.5,31.0,38.1,93.0,4.0,Rural,1043.0
London,2022-01-19,420.0,13.9,52.4,31.9,47.4,7.9,63.0,5.0,Rural,785.0
Delhi,2022-01-20,171.0,57.8,57.9,23.2,24.8,8.5,85.0,9.0,Suburban,1249.0
Beijing,2022-01-21,54.0,23.7,59.8,9.9,62.8,27.7,22.0,5.0,Suburban,425.0
Delhi,2022-01-22,480.0,28.3,69.8,18.1,32.9,10.7,56.0,2.0,Suburban,280.0
Beijing,2022-01-23,297.0,38.8,31.6,27.4,25.9,9.2,25.0,5.0,Suburban,325.0
Mexico City,2022-01-24,82.0,14.0,11.7,23.4,45.9,13.5,64.0,4.0,Suburban,1616.0
Delhi,2022-01-25,466.0,34.6,64.8,23.7,45.1,38.9,47.0,10.0,Suburban,864.0
Beijing,2022-01-26,492.0,28.0,35.8,41.4,33.8,18.8,32.0,5.0,Suburban,1076.0
Tokyo,2022-01-27,67.0,52.7,48.9,44.5,52.7,-4.2,36.0,9.0,Urban,758.0
Delhi,2022-01-28,459.0,25.2,97.4,29.5,32.9,-3.2,51.0,3.0,Urban,797.0
Beijing,2022-01-29,303.0,55.9,103.3,35.8,48.9,5.1,50.0,4.0,Suburban,941.0
Los Angeles,2022-01-30,88.0,36.7,60.7,37.3,41.7,31.7,70.0,4.0,Urban,1252.0
Delhi,2022-01-31,108.0,22.9,72.3,26.3,25.0,12.3,78.0,6.0,Urban,1822.0
Delhi,2022-02-01,98.0,39.0,73.0,20.6,24.4,4.4,85.0,5.0,Urban,214.0
Delhi,2022-02-02,213.0,37.1,24.4,24.9,67.0,38.5,86.0,13.0,Urban,244.0
Tokyo,2022-02-03,401.0,19.0,53.1,22.1,47.5,-1.3,20.0,3.0,Urban,1895.0
Delhi,2022-02-04,365.0,28.0,64.5,12.7,32.8,14.7,94.0,8.0,Suburban,1279.0
Delhi,2022-02-05,219.0,36.1,61.5,26.7,45.1,-4.1,63.0,5.0,Urban,269.0
Delhi,2022-02-06,420.0,53.4,56.8,36.0,51.1,33.5,76.0,11.0,Urban,459.0
Delhi,2022-02-07,483.0,55.1,81.0,38.7,13.7,-4.8,84.0,10.0,Urban,969.0
Mexico City,2022-02-08,462.0,30.0,65.2,38.0,36.5,36.5,70.0,7.0,Urban,951.0
Delhi,2022-02-09,117.0,48.1,3.6,65.1,45.8,-4.9,36.0,10.0,Urban,1816.0
Mexico City,2022-02-10,401.0,60.2,60.1,26.2,39.0,34.0,26.0,10.0,Urban,1212.0
Mexico City,2022-02-11,87.0,28.1,37.5,33.8,36.2,25.8,58.0,2.0,Suburban,1502.0
London,2022-02-12,434.0,26.1,38.6,18.1,52.4,7.6,77.0,12.0,Suburban,888.0
Delhi,2022-02-13,149.0,32.4,89.2,39.6,39.4,10.4,38.0,14.0,Urban,1731.0
London,2022-02-14,45.0,49.0,38.0,32.0,33.7,7.4,36.0,16.0,Rural,1203.0
Mexico City,2022-02-15,1.0,44.7,45.0,41.1,33.1,31.5,31.0,8.0,Suburban,1250.0
Delhi,2022-02-16,350.0,33.3,12.4,33.0,51.8,19.2,60.0,2.0,Urban,462.0
Los Angeles,2022-02-17,129.0,43.5,42.5,38.3,56.2,34.4,87.0,8.0,Urban,1698.0
London,2022-02-18,348.0,13.3,37.7,23.7,32.9,39.7,24.0,8.0,Urban,1648.0
Delhi,2022-02-19,172.0,17.8,92.7,18.9,34.1,14.7,70.0,12.0,Urban,1672.0
Tokyo,2022-02-20,43.0,45.9,89.7,26.2,49.5,30.2,53.0,11.0,Urban,269.0
Beijing,2022-02-21,186.0,5.0,33.9,13.4,44.4,22.6,42.0,2.0,Suburban,1243.0
Mexico City,2022-02-22,168.0,23.9,81.7,39.8,39.0,9.7,61.0,10.0,Urban,862.0
São Paulo,2022-02-23,214.0,52.7,51.9,42.5,40.6,28.8,88.0,16.0,Rural,971.0
Beijing,2022-02-24,176.0,39.5,33.2,36.0,51.1,3.9,34.0,5.0,Suburban,1698.0
London,2022-02-25,193.0,48.4,44.7,25.4,29.9,23.7,44.0,6.0,Suburban,249.0
Beijing,2022-02-26,323.0,33.7,34.3,46.9,39.7,23.4,32.0,11.0,Urban,968.0
Los Angeles,2022-02-27,197.0,72.4,26.2,32.1,34.2,29.8,54.0,13.0,Rural,1804.0
Mexico City,2022-02-28,271.0,62.2,48.2,31.5,22.3,33.4,79.0,10.0,Urban,1486.0
Delhi,2022-03-01,117.0,26.7,51.1,26.9,44.9,15.7,56.0,7.0,Rural,1789.0
Beijing,2022-03-02,468.0,2.9,43.9,35.7,35.3,13.2,21.0,5.0,Rural,510.0
Beijing,2022-03-03,481.0,27.2,76.2,29.5,52.3,26.0,77.0,8.0,Urban,730.0
